route,start_stop_code_lbsl,end_stop_code_lbsl
42,BP1963,BP1965
42,BP1965,BP1966
42,BP1966,1108
42,1108,13357
42,13357,13396
42,13396,13392
42,13392,26057
42,26057,2013
42,2013,263
42,263,26060
42,26060,2616
42,2616,2614
42,2614,2613
42,2613,658
42,658,88
42,88,8440
42,8440,8442
42,8442,36966
42,36966,BP1580
42,BP1580,BP1573
42,BP1573,2554
42,2554,34158
42,34158,34290
42,34290,1209
42,1209,2584
42,2584,655
42,655,BP3446
42,BP3446,BP3693
42,BP3693,35576
42,35576,29648
42,29648,33683
42,33683,29651
42,29651,37641
42,37641,2114
42,2114,BP3491
605,OC750,19148
605,19148,15628
605,15628,15631
605,15631,17470
605,17470,15633
605,15633,20857
605,20857,33773
605,33773,M31
605,M31,16108
605,16108,16111
605,16111,34718
605,34718,34872
605,34872,2987
605,2987,2989
605,2989,14586
605,14586,6070
605,6070,14803
605,14803,29834
605,29834,BP090
132,BP2275,BP2463
132,BP2463,BP2461
132,BP2461,BP2782
132,BP2782,BP2401
132,BP2401,19692
132,19692,36534
132,36534,36552
132,36552,BP5633
132,BP5633,44020
132,44020,20328
132,20328,20326
132,20326,20324
132,20324,20322
132,20322,25746
132,25746,25749
132,25749,25751
132,25751,26666
132,26666,14710
132,14710,R0554
132,R0554,16666
132,16666,16668
132,16668,16670
132,16670,16672
132,16672,19721
132,19721,16675
132,16675,16677
132,16677,16679
132,16679,BP2259
132,BP2259,16681
132,16681,16683
132,16683,35529
132,35529,16685
132,16685,16687
132,16687,16689
132,16689,18918
132,18918,16691
132,16691,17721
132,17721,16693
132,16693,16695
132,16695,14378
132,14378,34278
132,34278,14380
132,14380,13510
132,13510,6323
132,6323,40020
243,BP4258,25893
243,25893,36886
243,36886,20983
243,20983,455
243,455,33093
243,33093,200
243,200,13457
243,13457,13459
243,13459,13463
243,13463,13467
243,13467,13469
243,13469,13473
243,13473,13475
243,13475,13477
243,13477,BP2161
243,BP2161,33347
243,33347,29596
243,29596,2108
243,2108,BP4547
243,BP4547,2104
243,2104,36853
243,36853,29730
243,29730,4670
243,4670,2096
243,2096,318
243,318,2094
243,2094,4836
243,4836,2091
243,2091,34888
243,34888,2087
243,2087,626
243,626,R0365
243,R0365,26234
243,26234,1544
243,1544,26360
243,26360,14442
243,14442,789
243,789,2080
243,2080,BP3383
243,BP3383,2076
243,2076,958
243,958,BP2074
243,BP2074,34039
243,34039,70340
243,70340,10942
243,10942,BP5432
243,BP5432,10979
243,10979,10975
243,10975,10972
243,10972,10969
243,10969,10967
243,10967,10963
243,10963,10960
243,10960,10957
243,10957,10955
243,10955,10953
243,10953,10951
243,10951,12402
467,BP4901,BP4898
358,BP2418,6915
358,6915,27519
358,27519,20813
358,20813,6589
358,6589,20750
358,20750,6587
358,6587,6601
358,6601,6602
358,6602,17412
358,17412,17410
358,17410,2128
358,2128,BP210
358,BP210,19770
358,19770,BP2554
358,BP2554,19769
358,19769,19767
358,19767,1521
358,1521,19765
358,19765,1429
358,1429,18791
358,18791,1524
358,1524,18973
358,18973,31327
358,31327,17419
358,17419,17421
358,17421,17423
358,17423,26915
358,26915,17425
358,17425,17427
358,17427,BP2232
358,BP2232,BP2230
358,BP2230,BP2227
358,BP2227,19778
358,19778,14120
358,14120,BP2239
358,BP2239,BP2238
358,BP2238,BP2236
358,BP2236,BP2234
358,BP2234,19755
358,19755,BP051
358,BP051,BP050
358,BP050,BP053
358,BP053,BP055
358,BP055,40234
358,40234,40104
358,40104,14457
358,14457,19276
358,19276,3912
358,3912,18196
358,18196,1242
358,1242,18198
358,18198,3924
358,3924,18201
358,18201,18202
358,18202,19029
358,19029,4074
358,4074,26994
358,26994,19037
358,19037,18226
358,18226,18204
358,18204,36646
358,36646,40250
358,40250,30012
358,30012,18205
358,18205,12208
358,12208,19010
358,19010,19008
358,19008,19006
358,19006,40239
358,40239,19004
358,19004,19002
358,19002,10705
358,10705,12239
358,12239,40232
358,40232,13953
358,13953,R0398
228,BP4969,6138
228,6138,R0266
228,R0266,R0260
228,R0260,6130
228,6130,1386
228,1386,1382
228,1382,6021
228,6021,6018
228,6018,BP5286
228,BP5286,BP5638
228,BP5638,20975
228,20975,26503
228,26503,BP2305
228,BP2305,2713
228,2713,11587
228,11587,11589
228,11589,11590
228,11590,1408
228,1408,3031
228,3031,BP5262
228,BP5262,C89
228,C89,C90
228,C90,8903
228,8903,BP5237
228,BP5237,BP5234
228,BP5234,836
228,836,1061
228,1061,28421
228,28421,BP5266
228,BP5266,11535
228,11535,9482
228,9482,11541
228,11541,11543
228,11543,11545
228,11545,11547
228,11547,37616
228,37616,3260
228,3260,610
228,610,3256
228,3256,332
228,332,R0743
228,R0743,R0158
228,R0158,34991
117,BP4200,BP1557
117,BP1557,6461
117,6461,6405
117,6405,15227
